PROVIDER_NUMBER,FYB,FYE,STATUS,Hha_Name,Street_Addr,City,State,Zip_Code
267477,01-JAN-11,31-DEC-11,As Submitted,COURIER HEALTHCARE SYSTEMS  INC.,10420 OLD OLIVE ST. RD. ST 101,CREVE COEUR,MO,63141-5937
267612,01-JAN-11,31-DEC-11,As Submitted,PREMIERE HOME HEALTH,22 PORTWEST CT,ST CHARLES,MO,63303
497021,01-JAN-11,31-DEC-11,As Submitted,COMMONWEALTH HOME HEALTH  INC.,425 MAIN ST,SOUTH BOSTON,VA,24592-1006
497601,01-JAN-11,31-DEC-11,As Submitted,DICKENSON COUNTY HOME HEALTH,230 CHASE STREET,CLINTWOOD,VA,24228
397094,01-JAN-11,31-DEC-11,As Submitted,VIS NURSE ASSOC OF WESTERN PENNA,154 HINDMAN ROAD,BUTLER,PA,16001
458188,01-JAN-11,31-DEC-11,As Submitted,GSS - LAKE FOREST HOME CARE,3901 MONTECITO DRIVE,DENTON,TX,76205-5557
067337,01-APR-11,31-DEC-11,As Submitted,INTERIM HEALTHCARE OF PUEBLO,720 MAIN STREET,PUEBLO,CO,81003-3084
147405,01-JAN-11,31-DEC-11,As Submitted,METROSOUTH HOME HEALTH AGENCY,12935 SOUTH GREGORY STREET,BLUE ISLAND,IL,60406-2428
467106,01-JAN-11,31-DEC-11,As Submitted,HEALTH WATCH - PROVO INC.,9152 NORTH SILVER LAKE DRIVE,CEDAR HILLS,UT,84062
227519,01-JAN-11,31-DEC-11,As Submitted,ALLIANCE HOME CARE VNA,331 MONTVALE AVE #650,WOBURN,MA,01801
307078,01-JAN-11,31-DEC-11,As Submitted,PT HOME CARE OF GREATER PORTSMOUTH,5 DARTMOUTH,AUBURN,NH,03032
108060,01-JAN-11,31-DEC-11,As Submitted,BIG LAKE HOME HEALTH,111 NE 11TH STREET,OKEECHOBEE,FL,34972
109539,01-JAN-11,31-DEC-11,As Submitted,SHP INVESTMENTS  LLC,2324 S. CONGRESS AVENUE SUITE 1F,WEST PALM BEACH,FL,33406
147955,01-JAN-11,31-DEC-11,As Submitted,ST RITA HOME HEALTH CARE INC,5105 TOLLVIEW DR. # 202,ROLLING MEADOWS,IL,60008
673132,01-JAN-11,31-DEC-11,As Submitted,D ORO HOME HEALTH SERVICES,600 ANGELICA DR  BLDG A  STE 1,WESLACO,TX,78596
677851,01-JAN-11,31-DEC-11,As Submitted,HEART TO HEART HOMECARE  LLC,6624 N 10TH ST STE F,MCALLEN,TX,78504
059271,07-DEC-10,31-DEC-11,As Submitted,INDEPENDENCE HOME HEALTH  INC.,7200 VINELAND AVE.; SUITE 210,SUN VALLEY,CA,91352
677135,01-JAN-06,11-FEB-06,Settled,GENTIVA HEALTH SERVICES,606 ROLLINGBROOK SUITE 2C,BAYTOWN,TX,77521
677270,30-SEP-05,18-JAN-06,Settled,CENTRAL TEXAS HOME HEALTH SERVICES,P O BOX 986,LARGO,FL,33779
147532,01-JAN-06,19-JAN-07,Settled,NURSE COORDINATORS INC,1955 BERNICE ROAD SUITE 1-SW,LANSING,IL,60438
557420,01-JAN-06,31-DEC-06,Settled,A PLUS HOME HEALTH SPECIALIST,1414 S  AZUSA AVE.  UNIT B-14,WEST COVINA,CA,91791
397487,01-JAN-06,31-DEC-06,Settled,DEACONNESS HOME CARE,4730 CLAIRTON BLVD,PITTSBURGH,PA,15236
108363,01-JAN-07,24-FEB-07,Settled,A+ HEALTHCARE SPECIAL,,,CA, -
387137,01-JAN-99,15-NOV-99,Settled,HOME HEALTHCARE OF KLAMATH,6510 S 6TH STREET,KLAMATH FALLS,OR,97603
017047,01-MAY-05,30-APR-06,Settled,TRI-COUNTY HOME HEALTH CARE,100 TOWN PLAZA,SHEFFIELD,AL,35660
677172,01-JAN-06,31-DEC-06,Settled,MCH SERVICES,1110 N POST OAK SUITE 150,HOUSTON,TX,77055
458391,01-JAN-06,31-DEC-06,Settled,L&B HOME HEALTH CARE,118 HONEY JAY,SAN ANTONIO,TX,78228-5923
067444,01-JAN-06,30-NOV-06,Settled,MAXIM HEALTHCARE SERVICES-BOULDER,1510 28TH ST.  SUITE 100,BOULDER,CO,80303
277096,01-OCT-06,23-FEB-07,Settled,BLACKFEET HOME HEALTH AGENCY,5525 HAUL ROAD,BROWNING,MT,594170076
107724,01-JAN-07,30-APR-07,Settled,BAYADA NURSES,950 S TAMIAMI TRAIL  SUITE 202,SARASOTA,FL,342367818
497556,01-JAN-06,15-AUG-06,Settled,ACCESS HOME HEALTH - BLUEFIELD VA,WESTWOOD MEDICAL PARK STE 10,BLUEFIELD,VA,02460-5
679033,01-OCT-06,18-NOV-06,Settled,INTREPID USA HEALTHCARE SVCS,6600 FRANCE AVE S SUITE 51,EDINA,MN,55435
108096,01-JUL-06,02-NOV-06,Settled,HOME HEALTH CORP,620 FREEDOM BUSINESS CENTER,KING OF PU,PA,19406
677543,01-JAN-06,31-DEC-06,Settled,D. J. HEALTHCARE SERVICES  INC.,6633 N. MESA  # 315,EL PASO,TX,79912
527191,01-JAN-06,31-DEC-06,Settled,HILLSIDE HOME HEALTH,709 S. UNIVERSITY AVENUE,BEAVER DAM,WI,53916
108303,28-MAR-06,31-DEC-06,Settled,PARAGON HH CARE AGENCY  LLC,1705 SOUTH ADAMS STREET,TALLAHASSEE,FL,32301
377188,01-JAN-06,18-NOV-06,Settled,INTREPID OF OKLAHOMA,2502 CROSSROADS BLDG B STE B,ARDMORE,OK,73401
398006,01-JUL-06,29-JUN-07,Settled,HELPMATES HOME HEALTH,113 HIGH STREET,WATERFORD,PA,16441
497516,01-JAN-06,31-DEC-06,Settled,HEALTH CARE SOLUTIONS MED SUPPLY,116 SOUTH ADAMS STREET,PETERSBURG,VA,23803
679495,01-JAN-06,31-DEC-06,Settled,NEW CARE ADULT SERVICES,25301 BOROUGH PARK DRIVE STE 117,WOODLANDS,TX,77380-
459357,01-JAN-06,31-DEC-06,Settled,TREE OF LIFE HOME HEALTH CARE  LLC,509 S. HAMPTON  STE 102,DESOTO,TX,75123-1479
157524,01-JAN-07,30-NOV-07,Settled,LIFESPAN HOME HEALTH,800 BELL TRACE CIRCLE,BLOOMINGTON,IN,47408
457807,01-JAN-07,31-DEC-07,Settled,SAFEWAY HOME HEALTH SERVICES,2528 ALLEGRO LANE,PLANO,TX,75025
108225,01-JAN-07,31-DEC-07,Settled,D/B/A: PHARMACY SOLUTIONS  INC.,2665 CLEVELAND AVE. #204,FT MYERS,FL,33901
107719,01-JAN-07,31-DEC-07,Settled,COMMUNITY CARE RESOURCES  L.C.,14100 PALMETTO FRONTAGE RD.; ST. 100,MIAMI,FL,33186
453129,01-JAN-07,31-DEC-07,Settled,TRITRAX  LLC,4635 SW FREEWAY  STE 202,HOUSTON,TX,77027
287074,01-JAN-07,31-JAN-07,Settled,INTREPID USA- NEBRASKA,909 NORTH 96TH ST.  SUITE 102,OMAHA,NE,68114
368098,01-JUL-07,20-MAR-08,Settled,HOSPICE OF DARKE COUNTY  INC,1350 N. BROADWAY,GREENVILLE,OH,45331
237494,01-JAN-07,31-DEC-07,Settled,US HOME CARE  INC.,28091 DEQUINDRE ROAD STE # 206,MADISON HEIGHTS,MI,48071
167001,01-JAN-08,30-JUN-08,Settled,VNA OF POTTAWATTAMIE COUNTY,300 W BROADWAY,COUNCIL BLUFFS,IA,51503
067458,01-JAN-07,31-JAN-08,Settled,VICTORY HH  PALLIATIVE  WAIVER SRVS,416 STATE STREET  SUITE 62,TRINIDAD,CO,81082
037076,01-OCT-06,04-MAR-07,Settled,HEARTLAND HOME CARE - PHOENIX,1661 EAST CAMELBACK RD,PHOENIX,AZ,85016-
337286,01-JAN-07,21-SEP-07,Settled,UNIVERA HOMECARE,205 PARK CLUB LANE,BUFFALO,NY,14221
227143,01-JUL-07,30-JUN-08,Settled,COMM.HLTH.ASSN.OF RICHMOND 7 W.STOCK,1831 STATE ST,RICHMOND,MA,01254
247143,01-JAN-08,04-FEB-08,Settled,INTREPID OF ROCHESTER  INC.,6600 FRANCE AVENUE SOUTH  SUITE 500,EDINA,MN,55435
058021,01-JUL-07,30-JUN-08,Settled,VALLEY RIDGE HOME CARE,7126 SKYWAY  SUITE E,PARADISE,CA,95969
367292,01-JAN-08,31-DEC-08,Settled,EAST CENTRAL OHIO HOME HEALTH AGENC,103 EAST THIRD STREET,UHRICHSVILLE,OH,44683
458265,01-JAN-08,31-DEC-08,Settled,MEDCARE HEALTH SERVICES  INC.,846 CULEBRA  SUITE 101,SAN ANTONIO,TX,78201-0000
109528,01-JAN-11,31-DEC-11,Settled,B & B HOME CARE OF BROWARD  LLC,135 NW 100TH AVENUE,PLANTATION,FL,33324
197018,01-JAN-11,31-DEC-11,Settled,PROF HOME HEALTH OF ALEXANDRIA,1004 CALAIS CIRCLE,ALEXANDRIA,LA,71301
367535,01-JAN-11,31-DEC-11,Settled,HERITAGE COMPLETE HOME CARE,1003 FRANKLIN AVENUE,TORONTO,OH,43964
679241,01-JAN-11,31-DEC-11,Settled,VITAL POINT CORPORATION,9535 FOREST LANE STE 126,DALLAS,TX,75243
679749,01-JAN-11,31-DEC-11,Settled,THE PROVIDENCE HOME HEALTH SERVICES,11035 DARGAIL STREET,SUGARLAND,TX,77478
747022,01-JAN-11,31-DEC-11,Settled,ROYALTY CARE HOME HEALTH SERVICES,595 ROUND ROCK WEST DR  SUITE 304,ROUND ROCK,TX,78681
109543,01-JAN-11,31-DEC-11,Settled,C&J HOME HEALTH SERVICES  LLC,506 S HIGHWAY 27  SUITE E,MINNEOLA,FL,34715-2702
557670,01-JAN-10,31-DEC-10,Settled,SACRED HEART OF JESUS NURSING CARE,9660 FLAIR DRIVE  SUITE 425,EL MONTE,CA,91731-3007
027022,01-JUL-10,30-JUN-11,Settled,AMEDISYS HOME HEALTH CARE-ANCHORAGE,5959 SOUTH SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-6038
517814,01-JUL-10,30-JUN-11,Settled,WAYNE COUNTY HEALTH DEPARTMENT,109 RAILROAD AVENUE,WAYNE,WV,25570
147815,01-JAN-11,31-DEC-11,Settled,ADVANCED HOME HEALTH SERVICES  INC.,380 E. NORTHWEST HWY. - STE 350,DES PLAINES,IL,60016
257102,01-JAN-11,31-DEC-11,Settled,STA-HOME HEALTH AGENCY JACKSON,406 BRIARWOOD DRIVE  BLDG 200,JACKSON,MS,39206
368358,01-APR-11,31-DEC-11,Settled,RITECHOICE HEALTHCARE SERVICES,4121 MONROE STREET  SUITE 2A,TOLEDO,OH,43606-2064
108442,01-JAN-11,31-DEC-11,Settled,LA CARIDAD HOME HEALTH SERV CORP,8743 SW 9TH TERRACE #4,MIAMI,FL,33174
109160,01-JAN-11,31-DEC-11,Settled,LIFE HEALTH CARE  INC.,1490 W 49 PLACE STE 570,HIALEAH,FL,33012
109362,01-JAN-11,31-DEC-11,Settled,1ST CHOICE HEALTHCARE SERVICES LLC,320 S 10TH STREET,HAINES CITY,FL,33844
157615,01-JAN-11,31-DEC-11,Settled,ALLIANCE HOME HEALTH CARE  INC.,5930 HOHMAN AVE.,HAMMOND,IN,46320
459457,01-JAN-11,31-DEC-11,Settled,AHM ACTION HOME HEALTH LP DBA ACTION,6688 N CENTRAL EXPY. STE 1300,DALLAS,TX,75206-3950
679732,01-JAN-11,31-DEC-11,Settled,REGAL HEALTHCARE INC,4220 WILD PLUM DR,CARROLLTON,TX,75010
397001,01-JAN-11,31-DEC-11,As Submitted,BERKS VISITING NURSE ASSOCIATION,1170 BERKSHIRE BOULEVARD,WYOMISSING,PA,19610
497610,01-JAN-11,31-DEC-11,As Submitted,ALLSTAR HEALTHCARE SERVICES  INC.,114 WEST 20TH STREET,NORFOLK,VA,23517
557569,01-JAN-11,31-DEC-11,As Submitted,NETWORK PROVIDER FOR HOME HEALTH INC,7860 IMPERIAL HWY SUITE # A,DOWNEY,CA,90242-3464
197607,01-JAN-11,31-DEC-11,Settled,PINNACLE HOME HEALTH CARE 2005  LLC,1222 E. CORNERVIEW  SUITE C,GONZALES,LA,70737
087038,01-JAN-11,31-DEC-11,Settled,MAXIM HEALTHCARE SERVICES,1012 COLLEGE ROAD  SUITE 101,DOVER,DE,199040000
437059,01-JAN-11,31-DEC-11,As Submitted,RIVERVIEW HOME HEALTH,611 EAST 2ND AVENUE,FLANDREAU,SD,57028
398152,13-JAN-11,31-DEC-11,As Submitted,SARAHCARE HOME HEALTH AGENCY,101 WASHINGTON LANE  # G-6,JENKINTOWN,PA,19046
557711,01-JAN-11,31-DEC-11,As Submitted,MISSION HOME HEALTH OF SAN DIEGO,2375 NORTHSIDE STREET A150,SAN DIEGO,CA,92108-8000
398078,01-JAN-11,31-DEC-11,Settled,MAXIM HEALTHCARE SERVICES  INC.,2211 QUARRY DRIVE,READING,PA,196091161
237560,01-JAN-11,31-DEC-11,As Submitted,MICHIGAN HOME HEALTHCARE  INC.,2910 W JEFFERSON,TRENTON,MI,48183
037268,01-JAN-11,31-DEC-11,Settled,PRINCE OF PEACE HOME HEALTH LLC,10640 NORTH 28TH STE A-101,PHOENIX,AZ,85029
058292,01-JAN-11,31-DEC-11,Settled,HEALTHCARE CALIFORNIA,5709 N. WEST AVENUE,FRESNO,CA,93711-2366
058460,01-JAN-11,31-DEC-11,Settled,WESCARE HOME HEALTH PROVIDERS  INC.,16921 PARTHENIA ST.  STE. 203,NORTH HILLS,CA,91343
058475,01-JAN-11,31-DEC-11,Settled,BLUE SKY HOME HEALTH  INC.,6450 BELLINGHAM AVE. STE. A,NORTH HOLLYWOOD,CA,91606
059087,01-JAN-11,31-DEC-11,Settled,MJ HOME HEALTH SERVICES  INC.,18840-50 VENTURA BLVD.  STE. 203,TARZANA,CA,91356
059135,01-JAN-11,31-DEC-11,Settled,HEALING CARE HOME HEALTH  INC.,14545 VICTORY BLVD.  SUITE 305,VAN NUYS,CA,91411
059245,01-JAN-11,31-DEC-11,Settled,SERENITY HOME HEALTH CARE INC,20335 VENTURA BLVD STE # 105,WOODLAND HILLS,CA,91364-2463
237500,01-NOV-10,31-OCT-11,Settled,MAT NETWORK CORPORATION,44968 FORD RD SUITE L,CANTON,MI,48187
527166,01-OCT-10,30-SEP-11,Settled,PREFERRED HH CARE   INC,1476 KENWOOD DR,MENASHA,WI,54952
557423,01-JAN-11,31-DEC-11,Settled,VITAL HOME HEALTH CARE  INC.,2500 E. FOOTHILL BLVD. STE. 501,PASADENA,CA,91107
368067,01-JAN-11,31-DEC-11,As Submitted,BUCKEYE HOME HEALTH SERVICES LLC,1565 BETHEL RD STE 100,COLUMBUS,OH,43220
368343,29-DEC-10,31-DEC-11,As Submitted,HEALTH AT HOME  LLC,6443 BETHANY VILLAGE DR,DAYTON,OH,45459
377534,01-JAN-11,31-DEC-11,As Submitted,EXCELL HOME CARE & HOSPICE  INC.,1200 SW 104TH  SUITE D,OKLAHOMA CITY,OK,73139
453113,01-JAN-11,31-DEC-11,As Submitted,TENDER CARE HOME HEALTH SERVICES,2501 BISON CT,GARLAND,TX,75044
457810,01-JAN-11,31-DEC-11,As Submitted,1ST ABLE CARE HEALTH CARE SVC LLC,1000 N WALNUT CREEK DR STE B,MANSFIELD,TX,76063
677412,01-JAN-11,31-DEC-11,As Submitted,LEE HEALTH CARE INC.,,HAMILTON,TX,76531
677809,01-JAN-11,31-DEC-11,As Submitted,COMMITTED HOME HEALTH CARE INC,2600 ELM BROOK DRIVE,CARROLLTON,TX,75010
677899,01-JAN-11,31-DEC-11,As Submitted,PRO-HEALTH NURSING  INC.,604 SHILOH STE #2,LAREDO,TX,78041
677911,01-JAN-11,31-DEC-11,As Submitted,THANK YOU NURSES LTD,5835 CALLAGHAN RD  STE 102,SAN ANTONIO,TX,78228-1105
678308,01-JAN-11,31-DEC-11,As Submitted,GOODWIN HOME HEALTHCARE SERVCES,9550 FOREST LANE  STE. 229,DALLAS,TX,75243
743100,01-JAN-11,31-DEC-11,As Submitted,SCOF HEALTHCARE PROVIDERS INC,1619 W DIVISION STE Q,ARLINGTON,TX,76012
747256,01-JAN-11,31-DEC-11,As Submitted,RIO GRANDE VALLEY HOME HEALTH LLC,616 N. MCCOLL,MCALLEN,TX,78501
747448,01-JAN-11,31-DEC-11,As Submitted,EASTGATE HEALTHCARE SERVICES  INC.,4606 1960 WEST ROAD  SUITE 305,HOUSTON,TX,77069
108126,01-JAN-11,31-DEC-11,As Submitted,HRC HOME HEALTH SERVICES-BROWARD  LL,7820 PETERS ROAD BLDG E #100,PLANTATION,FL,33324
108246,01-JAN-11,31-DEC-11,As Submitted,Q.A. NURSING SERVICES  CORP.,13780 SW 56 ST STE 205,MIAMI,FL,33175
108404,01-JAN-11,31-DEC-11,As Submitted,LOVABLE HOME HEALTH SERVICES CORP,848 BRICKELL AVE SUITE 630,MIAMI,FL,33131
109166,01-JAN-11,31-DEC-11,As Submitted,ANGEL S TOUCH HOME CARE SERVICES COR,7171 CORAL WAY SUITE 307,MIAMI,FL,33155
109346,01-JAN-11,31-DEC-11,As Submitted,ABELLA YOSE CARE SERVICES INC,5901 NW 151 STREET  SUITE 102,MIAMI LAKES,FL,33014
109525,01-JAN-11,31-DEC-11,As Submitted,AMERICAN WAY HOME CARE  INC.,13944 SW 8 ST STE 209,MIAMI,FL,33184
109545,01-JAN-11,31-DEC-11,As Submitted,GENESIS COMPREHENSIVE HOME HEALTH,14680 S.W. 8TH STREET  UNIT #209,MIAMI,FL,33184
109658,18-MAR-11,31-DEC-11,As Submitted,ATLANTIC HOME HEALTH AGENCY OF SO. F,7025 BERACASA WAY #104,BOCA RATON,FL,33433
148005,01-JAN-11,31-DEC-11,As Submitted,HEALING TOUCH HOME HEALTH SERVICES,123 E LAKE STREET SUITE 302,BLOOMINGDALE,IL,60108
148152,01-JAN-11,31-DEC-11,As Submitted,DOCTORS CHOICE HOME HEALTH AGENCY  I,1133 S. WABASH AVE  SUITE 1,CHICAGO,IL,60605
157533,01-JAN-11,31-DEC-11,As Submitted,HOME CARE SERVICES NW INDIANA,7725 BROADWAY - SUITE F,MERRILLVILLE,IN,46410
368181,01-JAN-11,31-DEC-11,As Submitted,HEALTHTRENDS OF OHIO LLC,776 OLD STATE ROUTE 74,CINCINNATI,OH,45245
368297,01-JAN-11,31-DEC-11,As Submitted,ELITE HOME HEALTH CARE SERVICES,2862 JOHNSTOWN RD SUITE 212,COLUMBUS,OH,43219
458072,01-JAN-11,31-DEC-11,As Submitted,NETHH AGENCY  INC. DBA AT HOME HEALT,9846 STATE HIGHWAY 31E,TYLER,TX,75705-2329
459037,01-JAN-11,31-DEC-11,As Submitted,P.A.C.E. HEALTH CARE  INC.,,WESLACO,TX,78599
677918,01-JAN-11,31-DEC-11,As Submitted,THROCKMORTON LOCAL CARE HHA  INC.,709 NORTH MINTER,THROCKMORTON,TX,76483-5356
677980,01-JAN-11,31-DEC-11,As Submitted,STEP BY STEP DME INC,2507 S. CAGE BLVD,PHARR,TX,78577
679271,01-JAN-11,31-DEC-11,As Submitted,HEALTHWATCH PROFESSIONALS,9319 LBJ FREEWAY  SUITE 205,DALLAS,TX,75234
747141,01-JAN-11,31-DEC-11,As Submitted,EFE HEALTHCARE SERVICES INC,9535 FOREST LANE SUITE 238,DALLAS,TX,75243
057751,01-JAN-11,31-DEC-11,As Submitted,COMMUNITY HOME HEALTH  INC.,360 S. HOPE AVENUE - SUITE C-200,SANTA BARBARA,CA,93105
058341,01-JAN-11,31-DEC-11,As Submitted,PINNACLE HEALTH CORPORATION,8381 KATELLA ST. SUITE I,STANTON,CA,90680
059021,01-JAN-11,31-DEC-11,As Submitted,CARDINAL HOME HEALTH CARE,13841 ROSWELL AVE.  UNIT H,CHINO,CA,91710
059071,01-JAN-11,31-DEC-11,As Submitted,ANX HOME HEALTHCARE,455 HICKEY BLVD. #415,DALY CITY,CA,94015
407034,01-JAN-11,31-DEC-11,As Submitted,ANGELES DIVINOS HOME CARE SERVICES,CALLE LAMELA #112,QUEBRADILLAS,PR,00678 1749
368214,01-JAN-11,31-DEC-11,As Submitted,MAXIM HOME HEALTH RESOURCES-CANTON,4150 BELDEN VILLAGE ST     SUITE 302,CANTON,OH,44718
497672,21-SEP-11,31-DEC-11,As Submitted,VIRGINIA HELATHCARE SERV OF NORFOLK,110 KINGSLEY LANE  STE 205,NORFOLK,VA,23505
037169,01-JAN-00,30-SEP-00,Settled,ARIZONA SUNSET CARE  INC.,830 SOUTH MAIN STREET; SUITE 1B,COTTONWOOD,AZ,
037200,01-JAN-98,01-MAY-98,Settled,OLSTEN HEALTH SERVICES,9414 N. 25TH AVENUE  SUITE 202,PHOENIX,AZ,85021
057500,01-JUL-98,06-JUL-99,Settled,VALLEY HOME HEALTH SERVICES-SAN DIEG,10105 CARROLL CANYON ROAD,SAN DIEGO,CA,92131
067017,01-JAN-98,14-APR-98,Settled,MONTEZUMA COUNTY HEALTH DEPARTMENT,106 W. NORTH STREET,CORTEZ,CO,81321
067173,01-JAN-99,31-DEC-99,Settled,SOLEUS HOME CARE OF COLORADO-COL SPG,3528 DARIEN HIGHWAY,BRUNSWICK,GA,31525
067177,01-JAN-98,31-DEC-98,Settled,PROFESSIONAL MEDICAL RESOURCES  INC,7100 BROADWAY 5E,DENVER,CO,80221
067217,02-NOV-97,04-NOV-98,Settled,WESTERN MED SERVICES-FORT COLLINS,1031 ROBERTSON STREET,FORT COLLINS,CO,80524
067261,01-JAN-00,22-FEB-00,Settled,POUDRE CARE CONNECTION,1119 WEST DRAKE ROAD  SUITE C30,FORT COLLINS,CO,80526-
067291,01-JAN-00,30-SEP-00,Settled,COSTILLA COUNTY HHA,125 MAIN ST.,SAN LUIS,CO,81152
067305,01-JUL-97,05-JUN-98,Settled,MEDBROOK HOME HEALTH - LAMAR,610 WEST ELM,LAMAR,CO,81052
147197,01-JAN-99,31-DEC-99,Settled,SOLEUS HOME CARE OF IL - CHICAGO,3528 DARIEN HIGHWAY,BRUNSWICK,GA,31525
157208,01-JAN-98,30-JUN-98,Settled,OLSTEN HEALTH SERVICES,1254 WASHINGTON ST,COLUMBUS,IN,47202
157410,02-NOV-97,14-OCT-98,Settled,WESTERN MEDICAL SERVICES-MISHAWAKA,2123 WEST EDISON ROAD,MISHAWAKA,IN,96545
167250,01-FEB-99,31-DEC-99,Reopened,ALL GENERATIONS HOME HEALTH CARE,1419 TRAIL BEND DRIVE NW,SWISHER,IA,52338-
177224,01-JAN-99,01-OCT-99,Settled,SOLEUS HOME CARE OF KS-OVERLAND PARK,3528 DARIEN HIGHWAY,BRUNSWICK,GA,31525
178033,01-JAN-99,28-FEB-99,Settled,LUTHERAN HOME HEALTH AGENCY,2 EAST ASH,HERINGTON,KS,67449
197404,01-JAN-98,31-DEC-98,Settled,IHS HOME CARE OF LA - METARIE,3510 N. CAUSEWAY BLVD: SUITE 105,METARIE,LA,70002
267489,01-SEP-98,31-AUG-99,Settled,HOME CARE HEALTH SERVICES,9100 WATSON ROAD,ST. LOUIS,MO,63127
277030,01-JUN-96,31-MAY-97,Settled w/Audit,PONDERA HOME HEALTH AGENCY,300 NORTH VIRGINIA  SUITE 305,CONRAD,MT,59425
287083,01-JAN-99,31-JAN-00,Settled,CORAM ALTERNATE SITE SERVICES  INC.,2621 SOUTH 156TH CIRCLE,OMAHA,NE,68130-2514
327106,01-JAN-98,31-DEC-98,Settled,IHS HOME CARE OF NM - ALBUQUERQUE,6605 UPTOWN BLVD.  NE; SUITE 280,ALBUQUERQUE,NM,87110
377212,01-JAN-98,31-DEC-98,Settled,IHS HOME CARE OF OKLAHOMA,301 NW 63RD; SUITE 101,OKLAHOMA CITY,OK,73101
397240,01-JAN-97,08-OCT-97,Settled,MID VALLEY HOME HEALTH,315 S MAIN STREET,OLD FORGE,PA,18518
397488,01-JUL-97,30-JUN-98,Settled,QUAKER HEALTH  INC.,,KING OF PRUSSIA,PA,19406
447132,01-JAN-98,30-JUN-98,Settled,IHS HOME CARE OF LOUDON  TN,1904 MULBERRY STREET,LOUDON,TN,37774-1328
447456,01-JAN-98,01-MAY-98,Settled,IHS HOME CARE OF TN - GBO,2131 GRUNDY QUARLES HIGHWAY,GAINESBORO,TN,38562-0296
467065,01-JAN-98,28-NOV-98,Settled,OLSTEN HEALTH SERVICES,STATE STREET,,UT,84058
467113,01-APR-99,13-DEC-99,Settled,CATHYS HOME CARE,715 WEST 570 SOUTH,RICHFIELD,UT,84701
